Shape,Mean_disturbance_stability_index,Mean_surface_area_to_volume,Mean_structural_mass_fraction,Overall_observation
Sphere,0.176034389421828,15.5647752788724,0.726160580871048,
Prolate Ellipsoid,0.218797392480391,16.4314546878365,0.766594728603118,
Cuboid,0.266315235974882,19.3112319699746,0.900948145630296,
Flattened Ellipsoid,0.298716178590301,17.2726355377564,0.805839264014084,
