Shape,Required_volume_L,Length_m,Width_m,Height_m,Surface_area_m2,SA_to_V_1_per_m,Spatial_footprint_comment
Sphere,32.6578699340245,0.396579028226188,0.396579028226188,0.396579028226188,0.494093750949405,15.1293930665893,
Prolate Ellipsoid,32.6578699340245,0.586828792702601,0.326015995945889,0.326015995945889,0.521605929723164,15.9718294786804,
Cuboid,32.6578699340245,0.319641101316142,0.319641101316142,0.319641101316142,0.613022601903579,18.7710528317373,
Flattened Ellipsoid,32.6578699340245,0.559838294254388,0.45486861408169,0.244929253736295,0.548308673188269,16.789480584495,
