mass_index,shape_index,shape_name,mass_g,target_volume_L,endurance_factor_at_target_BR,stability_disturbance_index,surface_area_to_volume,structural_mass_fraction
1,1,Sphere,1,0.933081998114986,999.999999999999,0.0135069264620158,49.4892479537211,2.3088763182933
2,1,Sphere,2,1.86616399622997,999.999999999999,0.0214409092746613,39.2796421314259,1.83255634826162
3,1,Sphere,3,2.79924599434496,999.999999999999,0.0280955392327912,34.3139280278466,1.60088542636984
4,1,Sphere,4,3.73232799245994,999.999999999999,0.034035321937752,31.17627262018,1.45450093751075
5,1,Sphere,5,4.66540999057493,999.999999999999,0.039494492563671,28.941487773499,1.35023906200585
6,1,Sphere,6,5.59849198868991,999.999999999999,0.0445988885337459,27.2349827242824,1.27062360495003
7,1,Sphere,7,6.5315739868049,999.999999999999,0.0494259731273149,25.8708982316849,1.2069834707525
8,1,Sphere,8,7.46465598491989,999.999999999999,0.0540277058480632,24.7446239768605,1.15443815914665
9,1,Sphere,9,8.39773798303487,999.999999999999,0.0584410766580482,23.7919488653637,1.10999195931715
10,1,Sphere,10,9.33081998114986,999.999999999999,0.0626935990425215,22.9708740685886,1.07168545371832
11,1,Sphere,11,10.2639019792648,999.999999999999,0.06680643937066,22.2525588981565,1.03817310599316
12,1,Sphere,12,11.1969839773798,999.999999999999,0.0707963225750807,21.6164201134308,1.00849462357665
13,1,Sphere,13,12.1300659754948,999.999999999999,0.0746767548334056,21.0473005872647,0.981942864344585
14,1,Sphere,14,13.0631479736098,999.999999999999,0.0784588417368515,20.5337455341694,0.957983415590373
15,1,Sphere,15,13.9962299717248,999.999999999999,0.0821518550813371,20.0669068442366,0.936203476710378
16,1,Sphere,16,14.9293119698398,999.999999999999,0.085763637098645,19.639821065713,0.916278174130812
17,1,Sphere,17,15.8623939679548,999.999999999999,0.0893008959767365,19.2469187869276,0.897947671963163
18,1,Sphere,18,16.7954759660697,999.999999999999,0.0927694265651411,18.8836823286259,0.881001201948147
19,1,Sphere,19,17.7285579641847,999.999999999999,0.0961742782992276,18.5464013550675,0.865265661711443
20,1,Sphere,20,18.6616399622997,999.999999999999,0.0995198850717711,18.2319948305533,0.850597308305736
21,1,Sphere,21,19.5947219604147,999.999999999999,0.102810167140726,17.9378789665166,0.836875597401104
22,1,Sphere,22,20.5278039585297,999.999999999999,0.106048612135237,17.661867701959,0.823998540289319
23,1,Sphere,23,21.4608859566447,999.999999999999,0.109238340199225,17.4020966185641,0.811879154211992
24,1,Sphere,24,22.3939679547597,999.999999999999,0.112382156931165,17.1569640139233,0.800442713184922
25,1,Sphere,25,23.3270499528746,999.999999999999,0.115482596817891,16.9250847239964,0.789624593626599
26,1,Sphere,26,24.2601319509896,999.999999999999,0.118541959180119,16.7052535466575,0.779368567916631
27,1,Sphere,27,25.1932139491046,999.999999999999,0.121562338158143,16.4964159845737,0.7696254394311
28,1,Sphere,28,26.1262959472196,999.999999999999,0.124545647909285,16.2976446308939,0.760351940838123
29,1,Sphere,29,27.0593779453346,999.999999999999,0.127493643924897,16.1081199503809,0.751509837458863
30,1,Sphere,30,27.9924599434496,999.999999999999,0.130407941177251,15.9271145171445,0.74306519189317
31,1,Sphere,31,28.9255419415646,999.999999999999,0.133290029657419,15.7539799947667,0.734987756589019
32,1,Sphere,32,29.8586239396795,999.999999999999,0.136141287751008,15.58813631009,0.727250468755376
33,1,Sphere,33,30.7917059377945,999.999999999999,0.138962993810608,15.4290625951883,0.719829027767976
34,1,Sphere,34,31.7247879359095,999.999999999999,0.141756336215174,15.2762895647577,0.71270153954336
35,1,Sphere,35,32.6578699340245,999.999999999999,0.144522422152701,15.1293930665893,0.705848215642007
36,1,Sphere,36,33.5909519321395,999.999999999999,0.14726228531999,14.9879885967471,0.699251117378868
37,1,Sphere,37,34.5240339302545,999.999999999999,0.149976892699305,14.8517266127631,0.692893937164727
38,1,Sphere,38,35.4571159283695,999.999999999999,0.152667150544475,14.7202885106293,0.686761810816353
39,1,Sphere,39,36.3901979264844,999.999999999999,0.155333909686982,14.5933831568267,0.680841155761474
40,1,Sphere,40,37.3232799245994,999.999999999999,0.157977970254684,14.4707438867495,0.675119531002923
41,1,Sphere,41,38.2563619227144,999.999999999999,0.160600085881244,14.3521258968672,0.669585515452335
42,1,Sphere,42,39.1894439208294,999.999999999999,0.163200967472214,14.2373039707633,0.664228601840514
43,1,Sphere,43,40.1225259189444,999.999999999999,0.165781286583967,14.1260704894773,0.659039103891732
44,1,Sphere,44,41.0556079170594,999.999999999999,0.16834167846324,14.0182336849064,0.654008074837763
45,1,Sphere,45,41.9886899151744,999.999999999999,0.170882744788393,13.9136161017954,0.649127235663403
46,1,Sphere,46,42.9217719132893,999.999999999999,0.173405056147507,13.8120532393805,0.644388911733584
47,1,Sphere,47,43.8548539114043,999.999999999999,0.175909154283862,13.7133923483004,0.639785976664347
48,1,Sphere,48,44.7879359095193,999.999999999999,0.178395554134983,13.6174913621412,0.635311802475013
49,1,Sphere,49,45.7210179076343,999.999999999999,0.180864745688225,13.5242179460897,0.630960215203995
50,1,Sphere,50,46.6540999057493,999.999999999999,0.183317195672738,13.4334486477614,0.626725455291412
51,1,Sphere,51,47.5871819038643,999.999999999999,0.185753349105251,13.3450681374273,0.622602142132564
52,1,Sphere,52,48.5202639019793,999.999999999999,0.188173630704893,13.2589685266798,0.618585242290904
53,1,Sphere,53,49.4533459000942,999.999999999999,0.190578446190469,13.1750487561039,0.614670040930388
54,1,Sphere,54,50.3864278982092,999.999999999999,0.192968183471949,13.0932140438086,0.610852116087208
55,1,Sphere,55,51.3195098963242,999.999999999999,0.195343213746652,13.0133753877672,0.607127315451911
56,1,Sphere,56,52.2525918944392,999.999999999999,0.197703892509259,12.9354491158424,0.603491735376249
57,1,Sphere,57,53.1856738925542,999.999999999999,0.200050560483914,12.8593564781679,0.599941701856092
58,1,Sphere,58,54.1187558906692,999.999999999999,0.202383544485639,12.7850232772323,0.596473753273325
59,1,Sphere,59,55.0518378887842,999.999999999999,0.204703158217571,12.7123795315953,0.593084624706849
60,1,Sphere,60,55.9849198868991,999.999999999999,0.207009703009777,12.6413591696666,0.589771233646085
61,1,Sphere,61,56.9180018850141,999.999999999999,0.209303468504877,12.5718997504072,0.586530666960564
62,1,Sphere,62,57.8510838831291,999.999999999999,0.21158473329506,12.5039422081893,0.583360168996578
63,1,Sphere,63,58.7841658812441,999.999999999999,0.213853765514686,12.4374306193714,0.580257130686979
64,1,Sphere,64,59.7172478793591,999.999999999999,0.216110823392253,12.3723119884303,0.577219079573325
65,1,Sphere,65,60.6503298774741,999.999999999999,0.218356155765051,12.308536051732,0.574243670651023
66,1,Sphere,66,61.5834118755891,999.999999999999,0.220590002559609,12.2460550972426,0.571328677958065
67,1,Sphere,67,62.516493873704,999.999999999999,0.222812595240656,12.184823798662,0.56847198683673
68,1,Sphere,68,63.449575871819,999.999999999999,0.225024157231125,12.1247990626336,0.565671586805243
69,1,Sphere,69,64.382657869934,999.999999999999,0.227224904305445,12.0659398878205,0.562925564983142
70,1,Sphere,70,65.315739868049,999.999999999999,0.22941504495819,12.0082072347721,0.560232100019999
71,1,Sphere,71,66.248821866164,999.999999999999,0.231594780749958,11.9515639056123,0.557589456482385
72,1,Sphere,72,67.181903864279,999.999999999999,0.233764306632193,11.8959744326818,0.554995979658577
73,1,Sphere,73,68.114985862394,999.999999999999,0.235923811252486,11.8414049753541,0.552450090744606
74,1,Sphere,74,69.048067860509,999.999999999999,0.238073477241799,11.7878232243222,0.549950282378837
75,1,Sphere,75,69.9811498586239,999.999999999999,0.240213481484918,11.7351983127226,0.547495114495541
76,1,Sphere,76,70.9142318567389,999.999999999999,0.242343995375289,11.6835007335242,0.545083210470732
77,1,Sphere,77,71.8473138548539,999.999999999999,0.244465185055361,11.6327022626638,0.542713253536152
78,1,Sphere,78,72.7803958529689,999.999999999999,0.246577211643448,11.5827758874609,0.540383983439504
79,1,Sphere,79,73.7134778510839,999.999999999999,0.248680231447988,11.5336957398856,0.538094193331138
80,1,Sphere,80,74.6465598491989,999.999999999999,0.250774396170086,11.4854370342943,0.535842726859159
81,1,Sphere,81,75.5796418473139,999.999999999999,0.252859853095117,11.4379760092822,0.533628475456615
