duty_cycle,duty_frequency_hz,disturbance_force_fraction_of_weight,stable_case_fraction,mean_endurance_s_duty,mean_endurance_s_continuous,mean_endurance_s_no_buoyancy,ratio_duty_to_continuous,ratio_duty_to_no_buoyancy,ratio_continuous_to_no_buoyancy
0.2,6.0,0.008,1.0,7200.000000064319,5190.315000020451,420.009999999908,1.3871990428395864,17.14244898946667,12.357598628655479
0.2,10.0,0.008,1.0,7200.000000064319,5190.315000020451,420.009999999908,1.3871990428395864,17.14244898946667,12.357598628655479
0.2,14.0,0.008,1.0,7200.000000064319,5190.315000020451,420.009999999908,1.3871990428395864,17.14244898946667,12.357598628655479
0.3,6.0,0.008,0.0,6931.237500058451,5190.315000020451,420.009999999908,1.335417503567922,16.502553510773478,12.357598628655479
0.3,10.0,0.008,0.0,6961.2200000591065,5190.315000020451,420.009999999908,1.3411941279154882,16.57393871588922,12.357598628655479
0.3,14.0,0.008,0.0,6931.237500058451,5190.315000020451,420.009999999908,1.335417503567922,16.502553510773478,12.357598628655479
0.4,6.0,0.008,1.0,6618.880000051633,5190.315000020451,420.009999999908,1.2752366667582897,15.758862884343426,12.357598628655479
0.4,10.0,0.008,1.0,6618.857500051634,5190.315000020451,420.009999999908,1.275232331761281,15.758809314190337,12.357598628655479
0.4,14.0,0.008,1.0,6618.882500051633,5190.315000020451,420.009999999908,1.2752371484246239,15.758868836582659,12.357598628655479
