controller,disturbance_profile,disturbance_frequency_hz,disturbance_force_fraction_of_weight,mass_g,buoyancy_assist_ratio,trial_duration_s,time_to_empty_s,battery_used_pct,final_battery_pct,rms_altitude_error_m,max_altitude_error_m,time_outside_tolerance_s,mean_power_fraction,mean_pwm_pct,mean_thrust_n,saturation_fraction,stable_within_thresholds
no_buoyancy_continuous,sine,0.25,0.008,28.0,0.0,420.01999999990795,420.01999999990795,100.0,0.0,0.017321490246454713,0.05102766947963129,0.0,0.9999833146757192,51.768989628758455,0.2746766608675462,0.0,True
buoyancy_assisted_continuous,sine,0.25,0.008,28.0,0.99,5190.280000020451,5190.280000020451,100.0,0.0,0.017081174991166802,0.05102766947963107,0.0,0.0809207509756472,5.175036520897171,0.0027465215408923917,0.0,True
buoyancy_assisted_duty_cycled,sine,0.25,0.008,28.0,0.99,5146.620000019498,5146.620000019498,100.0,0.0,0.04009264295853099,0.06492371183852447,0.0,0.08160726681590667,2.96888852495769,0.002746645346160815,0.0,False
buoyancy_assisted_hybrid,sine,0.25,0.008,28.0,0.99,5190.26000002045,5190.26000002045,100.0,0.0,0.01709344838383091,0.058772206373777724,0.0,0.08092081176439725,5.174877126953562,0.002746522250143608,0.0,True
no_buoyancy_continuous,sine,0.5,0.008,28.0,0.0,420.01999999990795,420.01999999990795,100.0,0.0,0.0054351573496145425,0.02136021016596491,0.0,0.999991636689144,51.76923466704766,0.2746783314481575,0.0,True
buoyancy_assisted_continuous,sine,0.5,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,0.005239148699529698,0.021360210165965125,0.0,0.0809201261208778,5.176477107152461,0.0027466696326532794,0.0,True
buoyancy_assisted_duty_cycled,sine,0.5,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.03665045802185116,0.04816162495439318,0.0,0.08160630445140339,2.969607474112047,0.0027467761683703357,0.0,False
buoyancy_assisted_hybrid,sine,0.5,0.008,28.0,0.99,5190.300000020451,5190.300000020451,100.0,0.0,0.005268007830120301,0.029169745033730956,0.0,0.08092036678411876,5.175805843887234,0.0027466694012700335,0.0,True
no_buoyancy_continuous,sine,1.0,0.008,28.0,0.0,420.01999999990795,420.01999999990795,100.0,0.0,0.0015833082238486025,0.008907502058433651,0.0,0.9999958236621439,51.769357066727835,0.2746791678215378,0.0,True
buoyancy_assisted_continuous,sine,1.0,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,0.0014116873730878124,0.00890750205843347,0.0,0.08092001140110264,5.17680550292545,0.002746734008384801,0.0,True
buoyancy_assisted_duty_cycled,sine,1.0,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.03630325708480969,0.04271042521326371,0.0,0.0816061299490984,2.969777145168588,0.0027468375213407868,0.0,False
buoyancy_assisted_hybrid,sine,1.0,0.008,28.0,0.99,5189.480000020433,5189.480000020433,100.0,0.0,0.007591440723383106,0.016905189298957946,0.0,0.08093323827734453,5.11574895489006,0.002746690981246642,0.0,True
no_buoyancy_continuous,sine,2.0,0.008,28.0,0.0,420.01999999990795,420.01999999990795,100.0,0.0,0.0005146941404936753,0.003939130903152107,0.0,0.999997920073939,51.76941822628889,0.2746795857820758,0.0,True
buoyancy_assisted_continuous,sine,2.0,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,0.0003718822174523609,0.003939130903151897,0.0,0.08091999399647311,5.176895248526297,0.00274676629464344,0.0,True
buoyancy_assisted_duty_cycled,sine,2.0,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.0363783107270962,0.041377912837059855,0.0,0.08160612436011033,2.9698206764405275,0.0027468757849971035,0.0,False
buoyancy_assisted_hybrid,sine,2.0,0.008,28.0,0.99,5189.820000020441,5189.820000020441,100.0,0.0,0.006757273764379962,0.011934872601967326,0.0,0.0809276707734132,5.167055167030176,0.0027468269928518385,0.0,True
no_buoyancy_continuous,gust,0.25,0.008,28.0,0.0,419.99999999990797,419.99999999990797,100.0,0.0,0.0019219401949447075,0.03218922166795592,0.0,1.00000000087812,51.76915653641286,0.27468000000007914,0.0,True
buoyancy_assisted_continuous,gust,0.25,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,0.0005467231297721683,0.03218922166795531,0.0,0.08092000070432022,5.176943035134769,0.002746799999989035,0.0,True
buoyancy_assisted_duty_cycled,gust,0.25,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.036277213304248775,0.04297982203360741,0.0,0.08160611981361655,2.9698548291094604,0.002746906725900029,0.0,False
buoyancy_assisted_hybrid,gust,0.25,0.008,28.0,0.99,5185.7400000203515,5185.7400000203515,100.0,0.0,0.006425368429050716,0.029264343968010306,0.0,0.08099157926522067,4.931043864990629,0.002746770776799034,0.0,True
no_buoyancy_continuous,gust,0.5,0.008,28.0,0.0,419.99999999990797,419.99999999990797,100.0,0.0,0.0004540782938285255,0.008462971168542168,0.0,1.0000000001258393,51.76915616311326,0.27468000000005555,0.0,True
buoyancy_assisted_continuous,gust,0.5,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,0.00012916900672379334,0.008462971168541321,0.0,0.08092000010231684,5.176944021092989,0.0027467999999872266,0.0,True
buoyancy_assisted_duty_cycled,gust,0.5,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.03627733769692169,0.04089917660451062,0.0,0.08160611965082036,2.969854925099957,0.0027469067258981987,0.0,False
buoyancy_assisted_hybrid,gust,0.5,0.008,28.0,0.99,5185.720000020351,5185.720000020351,100.0,0.0,0.006422692565238113,0.010630851988420242,0.0,0.08099180303265877,4.930734190790346,0.0027468291989362235,0.0,True
no_buoyancy_continuous,gust,1.0,0.008,28.0,0.0,419.99999999990797,419.99999999990797,100.0,0.0,0.0001112080637781943,0.0020314017589902313,0.0,1.0000000000267648,51.769156163088304,0.274680000000056,0.0,True
buoyancy_assisted_continuous,gust,1.0,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,3.1634709989749456e-05,0.0020314017589899724,0.0,0.08092000002218566,5.176944153313382,0.0027467999999874707,0.0,True
buoyancy_assisted_duty_cycled,gust,1.0,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.03627712469432592,0.04089917660451059,0.0,0.08160611952721034,2.9698549942900727,0.002746906725898439,0.0,False
buoyancy_assisted_hybrid,gust,1.0,0.008,28.0,0.99,5185.720000020351,5185.720000020351,100.0,0.0,0.006427070597206319,0.012187999492659118,0.0,0.08099165707301051,4.931253377505101,0.0027468269315340955,0.0,True
no_buoyancy_continuous,gust,2.0,0.008,28.0,0.0,419.99999999990797,419.99999999990797,100.0,0.0,2.7763328498685412e-05,0.0005068523437212128,0.0,1.0000000000063307,51.76915616318195,0.27468000000008,0.0,True
buoyancy_assisted_continuous,gust,2.0,0.008,28.0,0.99,5190.3200000204515,5190.3200000204515,100.0,0.0,7.897672305110963e-06,0.0005068523437212071,0.0,0.08092000000555337,5.17694418079017,0.0027467999999894193,0.0,True
buoyancy_assisted_duty_cycled,gust,2.0,0.008,28.0,0.99,5146.680000019499,5146.680000019499,100.0,0.0,0.036277152918486565,0.04089917660451062,0.0,0.08160611951520771,2.9698550011083706,0.002746906725900404,0.0,False
buoyancy_assisted_hybrid,gust,2.0,0.008,28.0,0.99,5185.7400000203515,5185.7400000203515,100.0,0.0,0.006424815928541134,0.010826431594065922,0.0,0.08099148426099807,4.931865117010959,0.002746850894853112,0.0,True
no_buoyancy_continuous,step,0.25,0.008,28.0,0.0,424.5599999999038,424.5599999999038,100.0,0.0,0.350351921128344,0.3567272727272672,411.31999999991586,0.9892773678552983,51.56841777277638,0.27254147948805635,0.0,False
buoyancy_assisted_continuous,step,0.25,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.3562154111058077,0.3567272727272666,5231.260000021345,0.08008392199456618,2.3213924205317316,0.000554129731696631,0.0,False
buoyancy_assisted_duty_cycled,step,0.25,0.008,28.0,0.99,5240.420000021545,5240.420000021545,100.0,0.0,0.35060264574119404,0.35945650727315104,5226.200000021235,0.08014631013153012,1.3329892775754069,0.0005541525440115202,0.0,False
buoyancy_assisted_hybrid,step,0.25,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.35621817567858227,0.3567272727272666,5231.340000021347,0.08008396151551005,2.321300829404321,0.0005541297316966311,0.0,False
no_buoyancy_continuous,step,0.5,0.008,28.0,0.0,424.5599999999038,424.5599999999038,100.0,0.0,0.350351921128344,0.3567272727272672,411.31999999991586,0.9892773678552983,51.56841777277638,0.27254147948805635,0.0,False
buoyancy_assisted_continuous,step,0.5,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.3562154111058077,0.3567272727272666,5231.260000021345,0.08008392199456618,2.3213924205317316,0.000554129731696631,0.0,False
buoyancy_assisted_duty_cycled,step,0.5,0.008,28.0,0.99,5240.420000021545,5240.420000021545,100.0,0.0,0.35060264574119404,0.35945650727315104,5226.200000021235,0.08014631013153012,1.3329892775754069,0.0005541525440115202,0.0,False
buoyancy_assisted_hybrid,step,0.5,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.35621817567858227,0.3567272727272666,5231.340000021347,0.08008396151551005,2.321300829404321,0.0005541297316966311,0.0,False
no_buoyancy_continuous,step,1.0,0.008,28.0,0.0,424.5599999999038,424.5599999999038,100.0,0.0,0.350351921128344,0.3567272727272672,411.31999999991586,0.9892773678552983,51.56841777277638,0.27254147948805635,0.0,False
buoyancy_assisted_continuous,step,1.0,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.3562154111058077,0.3567272727272666,5231.260000021345,0.08008392199456618,2.3213924205317316,0.000554129731696631,0.0,False
buoyancy_assisted_duty_cycled,step,1.0,0.008,28.0,0.99,5240.420000021545,5240.420000021545,100.0,0.0,0.35060264574119404,0.35945650727315104,5226.200000021235,0.08014631013153012,1.3329892775754069,0.0005541525440115202,0.0,False
buoyancy_assisted_hybrid,step,1.0,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.35621817567858227,0.3567272727272666,5231.340000021347,0.08008396151551005,2.321300829404321,0.0005541297316966311,0.0,False
no_buoyancy_continuous,step,2.0,0.008,28.0,0.0,424.5599999999038,424.5599999999038,100.0,0.0,0.350351921128344,0.3567272727272672,411.31999999991586,0.9892773678552983,51.56841777277638,0.27254147948805635,0.0,False
buoyancy_assisted_continuous,step,2.0,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.3562154111058077,0.3567272727272666,5231.260000021345,0.08008392199456618,2.3213924205317316,0.000554129731696631,0.0,False
buoyancy_assisted_duty_cycled,step,2.0,0.008,28.0,0.99,5240.420000021545,5240.420000021545,100.0,0.0,0.35060264574119404,0.35945650727315104,5226.200000021235,0.08014631013153012,1.3329892775754069,0.0005541525440115202,0.0,False
buoyancy_assisted_hybrid,step,2.0,0.008,28.0,0.99,5244.500000021634,5244.500000021634,100.0,0.0,0.35621817567858227,0.3567272727272666,5231.340000021347,0.08008396151551005,2.321300829404321,0.0005541297316966311,0.0,False
